Timestamp,Klassenstufe:,Alter:,Geschlecht:,1. Wie oft nutzen Sie Instagram?,2. Wie viel Zeit verbringen Sie pro Tag durchschnittlich auf Instagram?,"3. Wie oft werden Sie auf Instagram mit Kontent konfrontiert, der Ihrer Meinung wiederspricht?",4. Wie oft werden Sie auf Instagram durch Kontent in Ihrer Meinung bestätigt?,"5. Haben Sie das Gefühl, dass Instagram Ihr mentales Wohlbefinden beeinflusst?","6. Wie oft haben Sie aufgrund von Inhalten auf Instagram negative Emotionen wie Angst, Frustation oder Eifersucht empfunden?","7. Wie oft haben Sie das Gefühl, dass sie auf Instagram eine verzerrte Darstellung des Lebens anderer sehen (z.B. perfekte Bilder von Reisen oder Beziehungen)?","8. Haben Sie das Gefühl, dass Instagram Ihre sozialen Interaktionen beeinflusst?","9. Wie oft haben Sie das Gefühl, dass Sie mehr zeit auf Instagram verbringen, als Sie eigentlich möchten?",10. Haben Sie schon einmal den Vergleich mit anderen auf Instagram gezogen und sich dabei schlecht oder minderwertig gefühlt?,"11. Wie oft haben Sie das Gefühl, dass Sie auf Instagram unrealistische Schönheitsideale und Körperideale sehen?","12. Wie oft haben Sie das Gefühl, dass Sie auf Instagram FOMO(Fear of Missing Out) empfinden, wenn Sie Bilder oder Stories von Freunden oder anderen Nutzern sehen?","13. Wie oft haben Sie das Gefühl, dass Sie auf Instagram Suchtverhalten entwickeln(z.B. ständiges Überprüfen von Benachtichtigungen oder Likes)?","14. Wie oft haben Sie das Gefühl, dass Sie auf Instagram Cybermobbing oder Belästigung erleben oder beobachten?","15. Inwiefern hat Instagram ihre Fähigkeit beeinflusst, neue soziale Kontakte und Freunschaften zu knüpfen?",16. Wie stark wurde Ihr Selbstbild und Ihre Identität durch Instagram beeinflusst?
07.06.2023 08:13:15,7,13,Männlich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:13:27,7,13,Männlich,Einmal am Tag,30 Minuten bis 2 Stunden,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:13:34,7,13,Männlich,Einmal am Tag,Weniger als 15 Minuten,nie,regelmäßig,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Einmal pro Monat,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:14:30,7,13,Weiblich,Seltener als einmal pro Woche,Weniger als 15 Minuten,regelmäßig,regelmäßig,"Ja, negativ",Einmal pro Woche,Einmal pro Woche,"Ja, negativ",Einmal pro Woche,"Ja, manchmal",Einmal pro Woche,Einmal pro Woche,Einmal pro Monat,Selten bis nie,Leicht verschlechtert,Kaum beeinflusst
07.06.2023 08:14:30,7,13,Männlich,Einmal pro Woche,Weniger als 15 Minuten,regelmäßig,regelmäßig,"Ja, negativ",Selten bis nie,Einmal pro Monat,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Einmal pro Monat,Einmal pro Monat,Selten bis nie,Leicht verbessert,Kaum beeinflusst
07.06.2023 08:14:37,7,13,Männlich,Mehrmals am Tag,15 bis 20 Minuten,selten,häufig,"Nein, es hat keinen Einfluss",Selten bis nie,Einmal pro Monat,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Einmal pro Monat,Einmal pro Monat,Selten bis nie,Einmal pro Monat,Signifikant verbessert,Nicht beeinflusst
07.06.2023 08:15:14,7,14,Männlich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verschlechtert,Nicht beeinflusst
07.06.2023 08:27:22,10,16,Weiblich,Mehrmals am Tag,mehr als 2 Stunden täglich,häufig,regelmäßig,"Ja, negativ",Mehrmals pro Woche,Mehrmals pro Woche,"Ja, negativ",Selten bis nie,"Nein, nie",Mehrmals pro Woche,Einmal pro Woche,Einmal pro Woche,Einmal pro Monat,Leicht verbessert,Leicht beeinflusst
07.06.2023 08:27:23,10,16,Weiblich,Mehrmals am Tag,mehr als 2 Stunden täglich,regelmäßig,regelmäßig,"Ja, negativ",Mehrmals pro Woche,Mehrmals pro Woche,"Nein, es hat keinen Einfluss",Mehrmals pro Woche,"Ja, manchmal",Mehrmals pro Woche,Einmal pro Woche,Einmal pro Woche,Einmal pro Woche,Leicht verbessert,Leicht beeinflusst
07.06.2023 08:27:24,10,16,Weiblich,Mehrmals am Tag,15 bis 20 Minuten,selten,regelmäßig,"Nein, es hat keinen Einfluss",Selten bis nie,Mehrmals pro Woche,"Nein, es hat keinen Einfluss",Selten bis nie,"Ja, manchmal",Einmal pro Woche,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Kaum beeinflusst
07.06.2023 08:28:02,10,16,Weiblich,Einmal am Tag,30 Minuten bis 2 Stunden,selten,regelmäßig,"Nein, es hat keinen Einfluss",Einmal pro Woche,Einmal pro Monat,"Nein, es hat keinen Einfluss",Einmal pro Woche,"Ja, manchmal",Einmal pro Monat,Selten bis nie,Selten bis nie,Einmal pro Monat,Leicht verschlechtert,Leicht beeinflusst
07.06.2023 08:29:23,10,16,Männlich,Mehrmals am Tag,15 bis 20 Minuten,selten,häufig,"Ja, positiv",Mehrmals pro Woche,Mehrmals pro Woche,"Ja, positiv",Selten bis nie,"Ja, häufig",Mehrmals pro Woche,Selten bis nie,Mehrmals pro Woche,Selten bis nie,Signifikant verbessert,Signifikant beeinflusst
07.06.2023 08:29:28,10,16,Weiblich,Mehrmals am Tag,30 Minuten bis 2 Stunden,regelmäßig,regelmäßig,"Ja, positiv",Einmal pro Woche,Einmal pro Woche,"Nein, es hat keinen Einfluss",Mehrmals pro Woche,"Ja, manchmal",Einmal pro Woche,Einmal pro Monat,Selten bis nie,Einmal pro Monat,Leicht verschlechtert,Leicht beeinflusst
07.06.2023 08:29:43,10,16,Weiblich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Signifikant verschlechtert,Nicht beeinflusst
07.06.2023 08:29:49,10,16,Weiblich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Ja, negativ",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Ja, manchmal",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Signifikant verschlechtert,Nicht beeinflusst
07.06.2023 08:30:00,10,16,Weiblich,Mehrmals am Tag,30 Minuten bis 2 Stunden,selten,selten,"Nein, es hat keinen Einfluss",Einmal pro Woche,Mehrmals pro Woche,"Nein, es hat keinen Einfluss",Selten bis nie,"Ja, manchmal",Mehrmals pro Woche,Selten bis nie,Selten bis nie,Einmal pro Woche,Leicht verbessert,Leicht beeinflusst
07.06.2023 08:30:10,10,16,Weiblich,Mehrmals am Tag,15 bis 20 Minuten,selten,regelmäßig,"Nein, es hat keinen Einfluss",Selten bis nie,Einmal pro Woche,"Nein, es hat keinen Einfluss",Einmal pro Monat,"Nein, nie",Einmal pro Monat,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:30:30,10,16,Männlich,Mehrmals am Tag,30 Minuten bis 2 Stunden,selten,regelmäßig,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Mehrmals pro Woche,"Nein, nie",Einmal pro Monat,Selten bis nie,Selten bis nie,Einmal pro Monat,Leicht verschlechtert,Nicht beeinflusst
07.06.2023 08:30:35,10,16,Männlich,Mehrmals am Tag,15 bis 20 Minuten,selten,regelmäßig,"Ja, negativ",Einmal pro Woche,Mehrmals pro Woche,"Nein, es hat keinen Einfluss",Mehrmals pro Woche,"Ja, manchmal",Mehrmals pro Woche,Einmal pro Woche,Einmal pro Woche,Einmal pro Monat,Leicht verbessert,Kaum beeinflusst
07.06.2023 08:30:38,10,16,Männlich,Mehrmals am Tag,30 Minuten bis 2 Stunden,selten,regelmäßig,"Ja, negativ",Einmal pro Woche,Mehrmals pro Woche,"Nein, es hat keinen Einfluss",Mehrmals pro Woche,"Ja, manchmal",Mehrmals pro Woche,Einmal pro Woche,Einmal pro Woche,Selten bis nie,Leicht verbessert,Kaum beeinflusst
07.06.2023 08:30:40,10,16,Weiblich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verschlechtert,Nicht beeinflusst
07.06.2023 08:31:05,10,15,Männlich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Signifikant verschlechtert,Nicht beeinflusst
07.06.2023 08:31:08,10,16,Weiblich,Einmal am Tag,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:31:58,10,16,Männlich,Mehrmals am Tag,30 Minuten bis 2 Stunden,selten,regelmäßig,"Nein, es hat keinen Einfluss",Selten bis nie,Mehrmals pro Woche,"Ja, positiv",Mehrmals pro Woche,"Nein, nie",Mehrmals pro Woche,Einmal pro Woche,Einmal pro Woche,Selten bis nie,Leicht verbessert,Leicht beeinflusst
07.06.2023 08:36:43,7,13,Männlich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Signifikant verschlechtert,Nicht beeinflusst
07.06.2023 08:36:47,7,13,Weiblich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Signifikant verschlechtert,Nicht beeinflusst
07.06.2023 08:37:10,7,13,Männlich,Ich nutze Instagram nicht,mehr als 2 Stunden täglich,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Signifikant verschlechtert,Nicht beeinflusst
07.06.2023 08:37:20,7,13,Weiblich,Einmal am Tag,15 bis 20 Minuten,selten,regelmäßig,"Nein, es hat keinen Einfluss",Selten bis nie,Mehrmals pro Woche,"Nein, es hat keinen Einfluss",Einmal pro Monat,"Nein, nie",Einmal pro Woche,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:38:04,7,13,Weiblich,Mehrmals am Tag,Weniger als 15 Minuten,selten,häufig,"Ja, positiv",Selten bis nie,Einmal pro Monat,"Ja, positiv",Einmal pro Woche,"Ja, manchmal",Mehrmals pro Woche,Einmal pro Woche,Selten bis nie,Einmal pro Monat,Leicht verbessert,Kaum beeinflusst
07.06.2023 08:38:06,7,13,Männlich,Mehrmals am Tag,Weniger als 15 Minuten,selten,selten,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Einmal pro Monat,Selten bis nie,Selten bis nie,Einmal pro Monat,Signifikant verbessert,Nicht beeinflusst
07.06.2023 08:38:59,7,13,Männlich,Einmal am Tag,Weniger als 15 Minuten,selten,häufig,"Nein, es hat keinen Einfluss",Selten bis nie,Mehrmals pro Woche,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Einmal pro Woche,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:39:33,7,13,Männlich,Mehrmals am Tag,30 Minuten bis 2 Stunden,regelmäßig,regelmäßig,"Nein, es hat keinen Einfluss",Selten bis nie,Einmal pro Woche,"Ja, positiv",Einmal pro Monat,"Nein, nie",Einmal pro Monat,Selten bis nie,Mehrmals pro Woche,Selten bis nie,Leicht verbessert,Kaum beeinflusst
07.06.2023 08:44:09,7,13,Weiblich,Mehrmals am Tag,30 Minuten bis 2 Stunden,regelmäßig,regelmäßig,"Ja, positiv",Einmal pro Woche,Mehrmals pro Woche,"Nein, es hat keinen Einfluss",Mehrmals pro Woche,"Ja, manchmal",Mehrmals pro Woche,Mehrmals pro Woche,Einmal pro Woche,Einmal pro Monat,Signifikant verbessert,Leicht beeinflusst
07.06.2023 08:44:27,7,13,Weiblich,Mehrmals am Tag,mehr als 2 Stunden täglich,regelmäßig,regelmäßig,"Nein, es hat keinen Einfluss",Selten bis nie,Einmal pro Monat,"Ja, positiv",Einmal pro Woche,"Ja, häufig",Einmal pro Monat,Selten bis nie,Einmal pro Monat,Selten bis nie,Leicht verbessert,Kaum beeinflusst
07.06.2023 08:44:37,7,13,Männlich,Mehrmals am Tag,mehr als 2 Stunden täglich,häufig,häufig,"Ja, positiv",Selten bis nie,Selten bis nie,"Ja, positiv",Selten bis nie,"Nein, nie",Mehrmals pro Woche,Selten bis nie,Selten bis nie,Selten bis nie,Signifikant verbessert,Kaum beeinflusst
07.06.2023 08:44:59,7,13,Weiblich,Mehrmals am Tag,15 bis 20 Minuten,häufig,häufig,"Nein, es hat keinen Einfluss",Selten bis nie,Mehrmals pro Woche,"Ja, positiv",Einmal pro Woche,"Nein, nie",Einmal pro Woche,Einmal pro Monat,Mehrmals pro Woche,Selten bis nie,Leicht verbessert,Kaum beeinflusst
07.06.2023 08:45:08,7,13,Männlich,Einmal am Tag,30 Minuten bis 2 Stunden,häufig,häufig,"Nein, es hat keinen Einfluss",Selten bis nie,Mehrmals pro Woche,"Ja, negativ",Einmal pro Monat,"Nein, nie",Einmal pro Woche,Einmal pro Woche,Selten bis nie,Selten bis nie,Leicht verbessert,Kaum beeinflusst
07.06.2023 08:45:19,7,13,Weiblich,Mehrmals am Tag,30 Minuten bis 2 Stunden,regelmäßig,regelmäßig,"Ja, positiv",Einmal pro Woche,Einmal pro Monat,"Ja, positiv",Einmal pro Woche,"Ja, manchmal",Einmal pro Woche,Einmal pro Monat,Einmal pro Woche,Einmal pro Monat,Leicht verbessert,Kaum beeinflusst
07.06.2023 08:45:35,7,13,Männlich,Seltener als einmal pro Woche,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Mehrmals pro Woche,"Ja, negativ",Selten bis nie,"Nein, nie",Einmal pro Woche,Einmal pro Monat,Selten bis nie,Einmal pro Monat,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:45:38,7,13,Männlich,Mehrmals am Tag,30 Minuten bis 2 Stunden,selten,regelmäßig,"Ja, positiv",Selten bis nie,Selten bis nie,"Ja, positiv",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Einmal pro Monat,Selten bis nie,Signifikant verbessert,Kaum beeinflusst
07.06.2023 08:45:40,7,13,Weiblich,Mehrmals am Tag,30 Minuten bis 2 Stunden,selten,regelmäßig,"Ja, positiv",Selten bis nie,Einmal pro Woche,"Ja, positiv",Selten bis nie,"Ja, manchmal",Mehrmals pro Woche,Einmal pro Woche,Einmal pro Woche,Einmal pro Monat,Signifikant verbessert,Leicht beeinflusst
07.06.2023 08:45:42,7,12,Weiblich,Mehrmals am Tag,30 Minuten bis 2 Stunden,regelmäßig,regelmäßig,"Ja, positiv",Einmal pro Woche,Mehrmals pro Woche,"Ja, positiv",Selten bis nie,"Ja, manchmal",Mehrmals pro Woche,Einmal pro Woche,Einmal pro Woche,Einmal pro Monat,Leicht verbessert,Leicht beeinflusst
07.06.2023 08:45:46,7,13,Weiblich,Einmal pro Woche,Weniger als 15 Minuten,häufig,selten,"Nein, es hat keinen Einfluss",Selten bis nie,Mehrmals pro Woche,"Nein, es hat keinen Einfluss",Selten bis nie,"Ja, häufig",Einmal pro Woche,Mehrmals pro Woche,Einmal pro Woche,Einmal pro Woche,Signifikant verbessert,Signifikant beeinflusst
07.06.2023 08:45:54,7,13,Männlich,Einmal am Tag,15 bis 20 Minuten,selten,regelmäßig,"Nein, es hat keinen Einfluss",Selten bis nie,Einmal pro Monat,"Nein, es hat keinen Einfluss",Einmal pro Monat,"Nein, nie",Selten bis nie,Einmal pro Monat,Selten bis nie,Selten bis nie,Leicht verbessert,Kaum beeinflusst
07.06.2023 08:46:01,7,14,Männlich,Ich nutze Instagram nicht,Weniger als 15 Minuten,häufig,selten,"Ja, negativ",Selten bis nie,Selten bis nie,"Ja, negativ",Einmal pro Monat,"Nein, nie",Einmal pro Monat,Einmal pro Monat,Einmal pro Monat,Selten bis nie,Signifikant verschlechtert,Signifikant beeinflusst
07.06.2023 08:46:09,7,13,Weiblich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Signifikant verschlechtert,Nicht beeinflusst
07.06.2023 08:46:21,7,13,Weiblich,Mehrmals am Tag,15 bis 20 Minuten,selten,regelmäßig,"Nein, es hat keinen Einfluss",Selten bis nie,Mehrmals pro Woche,"Ja, positiv",Selten bis nie,"Nein, nie",Mehrmals pro Woche,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Kaum beeinflusst
07.06.2023 08:50:00,7,13,Weiblich,Mehrmals am Tag,30 Minuten bis 2 Stunden,selten,regelmäßig,"Ja, positiv",Selten bis nie,Einmal pro Woche,"Ja, positiv",Selten bis nie,"Ja, manchmal",Mehrmals pro Woche,Einmal pro Woche,Einmal pro Woche,Einmal pro Monat,Signifikant verbessert,Leicht beeinflusst
07.06.2023 08:50:06,7,13,Weiblich,Mehrmals am Tag,30 Minuten bis 2 Stunden,selten,regelmäßig,"Ja, positiv",Selten bis nie,Einmal pro Woche,"Ja, positiv",Selten bis nie,"Ja, manchmal",Mehrmals pro Woche,Einmal pro Woche,Einmal pro Woche,Einmal pro Monat,Signifikant verbessert,Leicht beeinflusst
07.06.2023 08:50:09,7,13,Weiblich,Mehrmals am Tag,30 Minuten bis 2 Stunden,selten,regelmäßig,"Ja, positiv",Selten bis nie,Einmal pro Woche,"Ja, positiv",Selten bis nie,"Ja, manchmal",Mehrmals pro Woche,Einmal pro Woche,Einmal pro Woche,Einmal pro Monat,Signifikant verbessert,Leicht beeinflusst
07.06.2023 08:50:44,8,14,Weiblich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Signifikant verschlechtert,Nicht beeinflusst
07.06.2023 08:51:41,8,14,Männlich,Mehrmals am Tag,mehr als 2 Stunden täglich,selten,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Einmal pro Monat,"Ja, positiv",Selten bis nie,"Nein, nie",Selten bis nie,Einmal pro Monat,Selten bis nie,Selten bis nie,Leicht verbessert,Leicht beeinflusst
07.06.2023 08:51:55,8,14,Weiblich,Mehrmals am Tag,30 Minuten bis 2 Stunden,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Mehrmals pro Woche,"Ja, positiv",Einmal pro Woche,"Nein, nie",Mehrmals pro Woche,Einmal pro Woche,Mehrmals pro Woche,Einmal pro Monat,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:52:05,8,14,Weiblich,Mehrmals am Tag,30 Minuten bis 2 Stunden,selten,selten,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Ja, positiv",Einmal pro Monat,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:52:10,8,14,Männlich,Einmal am Tag,Weniger als 15 Minuten,regelmäßig,regelmäßig,"Nein, es hat keinen Einfluss",Selten bis nie,Einmal pro Woche,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Mehrmals pro Woche,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:52:19,8,14,Weiblich,Einmal pro Woche,Weniger als 15 Minuten,selten,selten,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Einmal pro Monat,Selten bis nie,Selten bis nie,Leicht verbessert,Kaum beeinflusst
07.06.2023 08:52:21,8,14,Männlich,Seltener als einmal pro Woche,Weniger als 15 Minuten,nie,regelmäßig,"Ja, positiv",Selten bis nie,Selten bis nie,"Ja, positiv",Einmal pro Monat,"Nein, nie",Einmal pro Monat,Mehrmals pro Woche,Selten bis nie,Selten bis nie,Signifikant verbessert,Kaum beeinflusst
07.06.2023 08:52:24,8,14,Weiblich,Mehrmals am Tag,30 Minuten bis 2 Stunden,selten,regelmäßig,"Nein, es hat keinen Einfluss",Selten bis nie,Mehrmals pro Woche,"Nein, es hat keinen Einfluss",Selten bis nie,"Ja, manchmal",Einmal pro Woche,Einmal pro Monat,Selten bis nie,Selten bis nie,Signifikant verbessert,Kaum beeinflusst
